id,voted
df7c17de645ae9a141459c0db8f8d837,Labour
c3b6d13e1235b0f7659fa49d14aebb06,Conservative
0a8a812950bf7224f6ff5bb0e338bb7a,Conservative
1a02b2bdd9bec1fcb614030e82914b92,Labour
394a49e7021d67db2af2a209cdac3436,Labour
46d3dbd8b2f7ab618e10ac76cf90d4b2,Conservative
d4d7a9a00fe1c699c1fcdb08b5aff2bf,Labour
c715f1ac5e5813b7739d8f8208d87c2b,Conservative
74091fd29e8c4b95cc81e73a80a82857,Labour
06436c0d03431631f734ab274fcbec26,Conservative
dace17fbc65db400393d8cb465e11c7d,Conservative
3ed29a0a28c600faff33be71ae17341d,Conservative
b4f0f0c6cc061ac548df9d6624aeae6e,Labour
6cc87de6a05d80d18b0cf0cfaf69c78f,Other
5c6358926161e72fbcc20e1ffa1941d3,Conservative
247418a1a8e16b5a27a515fd02cc47f4,Conservative
8adf815e81712eb8ddb5b467d2412c9d,Conservative
72709f5866f55210e755580db905c1eb,Labour
e077bb3cfbb95167774640825bf34061,Conservative
a153f1a6c6ab83db70fcc2a6b20cdd9d,Labour
97f1f1a1757711c30e2c40e41b9f262d,Labour
47f004e09cf6956f671f627e2c14e8a0,Other
9b03e752ad74f41241c851eb43eca107,Conservative
1e43f72e76d397def0f1ac998892d0f5,Labour
b992523468499d8ab7a4a6bc5cc8f678,Conservative
85882d3cd146a4592242694ff1d63551,Conservative
a84d4729036b6eadea0eaf3b6564fe57,Labour
a4cdf116ced42f75d7da4f210535a434,Other
5817302e9c6979307e049bf8db3f48a2,Labour
b6474369cc654cc3b78fd33a75f89cda,Labour
79987e7c7d9c017aa3c64ad1c7695841,Labour
6e54c5300678a8f73bf0e81cb398ba15,Other
a70d79d6e54e0fc489553a1ca6ecf49f,Other
5a7f52f5094ec7fefb8f0615c5052bef,Other
e9801948a3571637871183d7091368ae,Other
b6ad6853eaeac6ef6f881533dd45ce25,Labour
6a540ee1e93325dd872968c1b4b12985,Labour
bb8c701291cd4624ab92dd526710dfb7,Labour
fcfd1ffd5503fc3c84d0a40e035ac1fd,Labour
138a138f8ae187864670f1aeb74c0849,Conservative
1110b32bcbb6378d0033b609b2492c26,Labour
675d461787ee3064d41429a1aec68bd4,Labour
cc41242b78e6818b8830af595e3dd558,Labour
76d89f46aab1d736a03ca408f0c5ef50,Other
87d1212ae8d6d8ae29258d7150eaf7fc,Other
